dbpedia:PCL   wortschatz:PCL
dbpedia:Baird   wortschatz:Baird
dbpedia:Th%C3%A9odore   wortschatz:Theodore
dbpedia:Impossible_%28disambiguation%29   wortschatz:`Impossible
dbpedia:Cat_%28disambiguation%29   wortschatz:`cat
dbpedia:Perversity   wortschatz:perversity
dbpedia:Braniff_%28disambiguation%29   wortschatz:Braniff
dbpedia:Museum   wortschatz:museum
dbpedia:Times-Journal   wortschatz:Times-Journal
dbpedia:Oviedo   wortschatz:Oviedo
dbpedia:Refugium_%28disambiguation%29   wortschatz:refugium
dbpedia:Wachtel   wortschatz:Wachtel
dbpedia:Mandolin   wortschatz:mandolin
dbpedia:D.b.s.   wortschatz:DBs
dbpedia:Oyo   wortschatz:Oyo
dbpedia:Abundant   wortschatz:Abundant
dbpedia:Elkhorn_%28disambiguation%29   wortschatz:elkhorn
dbpedia:Wary%C5%9B   wortschatz:WARY
dbpedia:Moorings   wortschatz:moorings
dbpedia:Dotty   wortschatz:dotty
dbpedia:Romanian_%28disambiguation%29   wortschatz:Romanian
dbpedia:Creativity_%28disambiguation%29   wortschatz:creativity
dbpedia:Sentences   wortschatz:Sentences
dbpedia:Jih%C3%A2d   wortschatz:`jihad
dbpedia:Kars   wortschatz:Kars
dbpedia:Resend   wortschatz:re-send
dbpedia:Margarine   wortschatz:Margarine
dbpedia:Windshield   wortschatz:Windshield
dbpedia:Panoramas   wortschatz:Panoramas
dbpedia:Firkin_%28disambiguation%29   wortschatz:Firkin
dbpedia:Rosa   wortschatz:rosa
dbpedia:Zermatt   wortschatz:ZERMATT
dbpedia:Chavannes   wortschatz:Chavannes
dbpedia:Ass   wortschatz:ass
dbpedia:%C3%89ire   wortschatz:Eire
dbpedia:Rosalie_%28disambiguation%29   wortschatz:Rosalie
dbpedia:Eye_%28disambiguation%29   wortschatz:Eye
dbpedia:Gipton   wortschatz:Gipton
dbpedia:Hillside_%28disambiguation%29   wortschatz:hillside
dbpedia:SWAT   wortschatz:swat
dbpedia:Incentive   wortschatz:INCENTIVE
dbpedia:Tonga_%28disambiguation%29   wortschatz:Tonga
dbpedia:Payne   wortschatz:Payne
dbpedia:Suppressor   wortschatz:suppressor
dbpedia:Basic   wortschatz:BASIC
dbpedia:Association   wortschatz:association
dbpedia:F%C3%BCrst   wortschatz:Furst
dbpedia:SFC   wortschatz:SFC
dbpedia:So-called   wortschatz:socalled
dbpedia:Lambada   wortschatz:Lambada
dbpedia:Mercurio   wortschatz:Mercurio
dbpedia:PLE   wortschatz:P&LE
dbpedia:Teriyaki   wortschatz:teriyaki
dbpedia:Deluges   wortschatz:Deluges
dbpedia:Lakin   wortschatz:Lakin
dbpedia:Blois   wortschatz:Blois
dbpedia:Roarke   wortschatz:Roarke
dbpedia:Orangemen   wortschatz:Orangemen
dbpedia:Classification   wortschatz:Classification
dbpedia:Snakebite_%28disambiguation%29   wortschatz:snakebite
dbpedia:Nomi   wortschatz:Nomi
dbpedia:Mafia_%28disambiguation%29   wortschatz:mafia
dbpedia:Closer   wortschatz:closer
dbpedia:M%C3%A2r%C5%9Fa   wortschatz:Mara
dbpedia:Amelia   wortschatz:Amelia
dbpedia:ACL_%28disambiguation%29   wortschatz:ACL
dbpedia:Faces   wortschatz:faces
dbpedia:Kean   wortschatz:Kean
dbpedia:Tobermory   wortschatz:Tobermory
dbpedia:Pucker_%28disambiguation%29   wortschatz:pucker
dbpedia:Quickly   wortschatz:quickly
dbpedia:Australopithecus   wortschatz:Australopithecus
dbpedia:Tan-tan   wortschatz:Tan-Tan
dbpedia:Century   wortschatz:century
dbpedia:MONY   wortschatz:MONY
dbpedia:Dec   wortschatz:Dec
dbpedia:Subcontractor   wortschatz:sub-contractor
dbpedia:Evacuation_%28disambiguation%29   wortschatz:Evacuation
dbpedia:Granite_%28disambiguation%29   wortschatz:Granite
dbpedia:Block_%28disambiguation%29   wortschatz:BLOCK
dbpedia:Tricorne   wortschatz:Tricorne
dbpedia:Fifty-Six   wortschatz:Fifty-six
dbpedia:Gane   wortschatz:gane
dbpedia:Chadwell   wortschatz:Chadwell
dbpedia:Shrinking   wortschatz:SHRINKING
dbpedia:Hungarian_%28disambiguation%29   wortschatz:HUNGARIAN
dbpedia:Caloric   wortschatz:Caloric
dbpedia:Ziggy   wortschatz:Ziggy
dbpedia:Straitjacket_%28disambiguation%29   wortschatz:strait-jacket
dbpedia:Dartington   wortschatz:Dartington
dbpedia:Polaroid   wortschatz:polaroid
dbpedia:Clark_%28disambiguation%29   wortschatz:Clark
dbpedia:Guilty_%28disambiguation%29   wortschatz:guilty
dbpedia:Giorgos   wortschatz:Giorgos
dbpedia:Illustrious   wortschatz:illustrious
dbpedia:Sluiced   wortschatz:sluiced
dbpedia:Mediterranean_%28disambiguation%29   wortschatz:mediterranean
dbpedia:Shannon_%28disambiguation%29   wortschatz:SHANNON
dbpedia:Com%C3%A9die-francaise   wortschatz:Comedie-Francaise
dbpedia:Andrew   wortschatz:ANDREW
dbpedia:Marchais_%28disambiguation%29   wortschatz:Marchais
dbpedia:Eastbourne_%28disambiguation%29   wortschatz:Eastbourne
dbpedia:Pit_%28disambiguation%29   wortschatz:Pit
dbpedia:Arte   wortschatz:Arte
