"Mottolä"	"Mottola"
"Mottöla"	"Mottola"
"Mottölä"	"Mottola"
"Möttola"	"Mottola"
"Möttolä"	"Mottola"
"Möttöla"	"Mottola"
"Möttölä"	"Mottola"
"Salumäe"	"Salumae"
"Hervás"	"Hervas"
"Osório"	"Osorio"
"Våle"	"vale"
"Mexicó"	"Mexico"
"Adélie"	"Adelie"
"Väse"	"vase"
"Söder"	"Soder"
"Jónsson"	"Jonsson"
"Jönsson"	"Jonsson"
"Décentralisation"	"decentralisation"
"Tünde"	"Tunde"
"Château"	"chateau"
"Hájek"	"Hajek"
"Löwenstein"	"Lowenstein"
"Cové"	"cove"
"Larivière"	"Lariviere"
"Pénélope"	"Penelope"
"Créole"	"Creole"
"Stöcker"	"Stocker"
"Vilén"	"Vilen"
"Valença"	"Valenca"
"Bühl"	"Buhl"
"Genève"	"Geneve"
"Génève"	"Geneve"
"Atlántico"	"Atlantico"
"Tümen"	"Tumen"
"Villé"	"Ville"
"Bürg"	"Burg"
"Búri"	"Buri"
"Büri"	"Buri"
"Toupée"	"Toupee"
"Lancé"	"lance"
"Hägen"	"Hagen"
"Führer"	"Fuhrer"
"Höri"	"Hori"
"Hörn"	"Horn"
"Démodé"	"demode"
"Stárkov"	"Starkov"
"Raphaël"	"Raphael"
"Sôber"	"Sober"
"Klöckner"	"Klockner"
"Lanë"	"Lane"
"Lány"	"Lany"
"Krivoklát"	"Krivoklat"
"Pudú"	"Pudu"
"Vinäs"	"Vinas"
"Wærns"	"warns"
"Premières"	"premieres"
"Úrsula"	"Ursula"
"Pukë"	"Puke"
"Ménage"	"menage"
"Cocorná"	"Cocorna"
"Zauberflöte"	"Zauberflote"
"Hércules"	"Hercules"
"Labé"	"Labe"
"Láir"	"Lair"
"Láin"	"Lain"
"Engagé"	"engage"
"Phélypeaux"	"Phelypeaux"
"Hernándezes"	"Hernandezes"
"Lamé"	"Lame"
"Lamá"	"Lama"
"Jonquière"	"Jonquiere"
"Lalô"	"Lalo"
"Mölten"	"Molten"
"Türbe"	"Turbe"
"Girón"	"Giron"
"Pédant"	"pedant"
"Céline"	"Celine"
"Turów"	"Turow"
"Fouqué"	"Fouque"
"Türkü"	"Turku"
"Fossé"	"Fosse"
"Miláno"	"Milano"
"Montevidéo"	"Montevideo"
"Grünfeld"	"Grunfeld"
"Hydro-Québec"	"Hydro-Quebec"
