IndigNation	indignation
Canaveral	CANAVERAL
Swedish	SWEDISH
S.W.I.N.E	Swine
S.W.I.N.E.	Swine
SWINE	Swine
TIMED	timed
Rent-A-Cop	Rent-a-Cop
Rent-a-cop	Rent-a-Cop
Buse	BuSe
MIMOSA	mimosa
SLATES	slates
KUDOS	Kudos
T-R-O-U-B-L-E	Trouble
Hell-O	hello
Electro-optics	Electro-Optics
Meat	MEAT
House	HOUSE
VANS	vans
MINTO	Minto
Sabre	SABRE
VaMP	vamp
Given	GIVEN
MUSH	mush
MusE	muse
FastTrack	fast-track
Armitage	ARMITAGE
FirstClass	first-class
Mead	MEAD
Whitman	WHITMAN
M.U.L.E.	mule
MULE	mule
CYCA	Cyca
Electorate	ELECTORATE
Garden	GARDEN
Tenneco	TENNECO
Sable	SABLE
Sablé	SABLE
Parliament	paRliament
TIPTOP	tip-top
Rent-a-car	Rent-a-Car
Sealing	SEALING
RATTLE	Rattle
MOSQUITO	Mosquito
G-Land	gland
MUST	must
IRIS	iris
MUTE	mute
V.A.S.T.	vast
VAST	vast
H.E.L.P.E.R.	helper
H.E.L.P.eR	helper
H.E.L.P.eR.	helper
BORSCHT	borscht
Enterprise	ENTERPRISE
TUNIS	Tunis
Wellington	WELLINGTON
Courtaulds	COURTAULDS
Hughes	HUGHES
Clarke	CLARKE
RITES	rites
Hojo	HoJo
Pillsbury	PILLSBURY
Light-Heavyweight	light-heavyweight
Meta	META
Sky-Watcher	skywatcher
Michel	MICHEL
Indictment	INDICTMENT
MeWa	MEWA
DR-DOS	DR-Dos
DRDOS	DR-Dos
CROCUS	crocus
Slim-fast	Slim-Fast
.S.P.A.C.E.	s-pace
SPACE	s-pace
LARGE	large-
Helen	HELEN
SweetS	Sweets
BELFOX	Belfox
No-One	Noone
Ipos	IPOs
BUCK	Buck
Advertising	ADVERTISING
SMART-ER	Smarter
America	AMERICA
América	AMERICA
Meco	MECO
Mees	MEES
Mées	MEES
BULA	Bula
MEPS	MEPs
Andaman	ANDAMAN
Ho-Ag	Hoag
Mesa	MESA
TINKER	tinker
Mere	MERE
Meré	MERE
Méré	MERE
Melt	MELT
Mena	MENA
Hotel	HOTEL
Casting	CASTING
Bishopsgate	BISHOPSGATE
Adweek	AdWeek
Rejected	-Rejected
Aérospatiale	AEROSPATIALE
SMALL	-Small
Small	-Small
Dress-Up	dressup
Video	VIDEO
BOOMERanG	Boomerang
Copper	COPPER
Videx	VIDEX
HoME	Home
Urbanization	URBANIZATION
Reformation	Re-Formation
Shamir	SHAMIR
Lemaire	LeMaire
A-Sides	Asides
LAND	land-
Blues	BLUES
H.O.P.E.	Hope
Lawsuit	LAWSUIT
TIBOR	Tibor
CTEC	C-Tec
Floor	FLOOR
Enlargement	ENLARGEMENT
Felipe	FELIPE
Flood	FLOOD
Commissioner	COMMISSIONER
Counter-Protest	counterprotest
Thunder	THUNDER
Armstrong	ARMSTRONG
HOSE	Hose
MiMMS	Mimms
Holding	HOLDING
NOMAD	Nomad
HOWL	Howl
Russel	RUSSEL
Inflammatory	INFLAMMATORY
Payroll	PAYROLL
T.Y.S.O.N.	Tyson
SOBER	Sober
Health-tex	Health-Tex
Healthtex	Health-Tex
Gissi	GISSI
LAMPS	lamps
Arizona	ARIZONA
Award	AWARD
Aware	AWARE
Racecourse	RACECOURSE
IRAS	IRAs
Hafez	HAFEZ
Iran	IRAN
Irán	IRAN
Irãn	IRAN
Iraq	IRAQ
TIBBS	Tibbs
British	BRITISH
Cradling	CRADLING
Exchanged	EXCHANGED
Aussie	AUSSIE
Colombia	-Colombia
Colômbia	-Colombia
LAND	Land
LANA	Lana
L.A.OS.	Laos
MCPS	MCPs
Philip	PHILIP
LARC	Larc
Housing	HOUSING
Irna	IRNA
LARS	Lars
Packer	PACKER
Bird-Man	Birdman
EDIFICE	edifice
Iron	IRON
Debenham	DEBENHAM
C-RAM	cram
Impact	IMPACT
VINES	Vines
Parenthood	PARENTHOOD
Freeport-McMoRan	Freeport-McMoran
ScotRail	Scotrail
RemixeS	remixes
SEVENTEEN	seventeen
ITeM	item
FastTrack	Fasttrack
All-In	all-in
Russia	RUSSIA
Réal	real-
Madrid	MADRID
TINKER	Tinker
HyperCard	Hypercard
READY	ready
Bardon	BARDON
Burhan-ud-Din	Burhanuddin
MESSENGER	messenger
CROP	crop
Hitec	Hi-Tec
RALA	R-Ala
Satisfied	SATISFIED
Delays	DELAYS
Insurers	INSURERS
LADS	Lads
REACT	react
LACS	Lacs
Lebanon	LEBANON
Myerson	MYERSON
PURA	Pura
MINIX	Minix
SOCKS	Socks
CRUD	crud
Auster	AUSTER
Man-Ape	man-ape
Greatest	GREATEST
CRUX	crux
Trading	TRADING
CRISIL	Crisil
Kazuo	KAZUO
MINDS	Minds
Unknown	UNKNOWN
TSquared	T-squared
