Time	time-
TransCanada	trans-Canada
Workspace	work-space
Middle	middle-
Nonunion	Non-union
Antithrombotic	anti-thrombotic
S-layer	Slayer
Back-drops	backdrops
Beriberi	beri-beri
Washout	wash-out
Rainforest	rain-forest
Gung-ho	gungho
Non-voting	nonvoting
Firebombing	fire-bombing
Weight	weight-
Oncampus	on-campus
Afghanis-tan	Afghanistan
Superscalar	Super-scalar
Deinking	de-inking
Afrobop	Afro-bop
Rulebook	rule-book
Gramm-Rudman	GrammRudman
Interest	in-terest
Goodnatured	good-natured
Coordination	co-ordination
Space	s-pace
Presales	pre-sales
Powerline	power-line
Frontrunners	front-runners
Large	large-
Antianginal	anti-anginal
Blackbox	black-box
Imagemakers	image-makers
Under-age	underage
Halfhour	half-hour
Eyewitness	eye-witness
Leftwinger	left-winger
Water-logged	waterlogged
Newman	new-man
Type-writer	typewriter
Great-coats	greatcoats
Jobseekers	job-seekers
Drywall	dry-wall
Eurodance	Euro-dance
Multimillion	multi-million
Switch-backs	switchbacks
Freeride	free-ride
Login	log-in
E-wing	Ewing
-land	land-
Land	land-
-hood	Hood
Powertrain	power-train
South-easterly	southeasterly
Multimedia	multi-media
Walkout	walk-out
Clean-up	Cleanup
Pointman	point-man
High-yield	highyield
Tumble-down	Tumbledown
Selfrighteous	Self-righteous
Myong-dong	Myongdong
Nonsectarian	non-sectarian
Pitstop	pit-stop
Flybys	fly-bys
Sundress	sun-dress
Non-pareil	nonpareil
-land	Land
Flim-flam	flimflam
Taekwon-do	taekwondo
Smalltalk	small-talk
Headbanging	head-banging
Half-track	Halftrack
Micromanagement	micro-management
Un-balanced	unbalanced
Macromanagement	macro-management
Plain-clothed	plainclothed
Hometown	home-town
Plain-clothes	plainclothes
Selfsufficiency	self-sufficiency
Pre-preg	prepreg
Allin	all-in
Neoconservative	neo-conservative
Real	real-
Pre-game	Pregame
Disappointment	dis-appointment
Non-violently	nonviolently
Re-act	react
Endgame	end-game
Statehouse	state-house
Selfsufficiency	Self-sufficiency
Patternmaking	pattern-making
Interim	in-terim
M-Tech	MTech
IS-IS	ISIS
MBank	M-Bank
Newstalk	news-talk
GRH	G-R-H
Flood-lit	floodlit
Re-imagine	reimagine
Single-mindedness	singlemindedness
Under-cover	undercover
Sell-outs	sellouts
Top-notch	topnotch
Prearranged	Pre-arranged
Gofer	go-fer
Brownbagging	brown-bagging
Rock-face	rockface
De-militarized	demilitarized
Every-time	Everytime
Emeter	E-meter
Startup	start-up
MI8	MI-8
Hypervelocity	hyper-velocity
Trans-acting	transacting
Interracial	inter-racial
Looseleaf	loose-leaf
Cutoff	cut-off
Cutaway	cut-away
Under-employed	underemployed
Deicing	de-icing
Infrared	Infra-red
Shan-tung	Shantung
Breakdown	break-down
Shadowboxing	shadow-boxing
Fixit	fix-it
Firstbaseman	first-baseman
Step-mothers	stepmothers
Showpiece	show-piece
Under-estimating	underestimating
Inter-denominational	interdenominational
Under-estimation	underestimation
Freeway	free-way
Recycling	re-cycling
Half-time	halftime
Postcommunism	post-communism
Postcommunist	post-communist
Milli-	Milli
Cliffhanger	cliff-hanger
Selfrealisation	self-realisation
DRDOS	DR-DOS
Underbanked	under-banked
-phobia	phobia
Preconditions	pre-conditions
Hydropower	hydro-power
Cross-over	crossover
Closeout	close-out
Homebrew	home-brew
Mini-series	miniseries
British	British-
Pre-ferment	preferment
Sheep	sheep-
Blowhole	blow-hole
Con	con-
Big-wig	bigwig
Com	com-
Seaurchin	sea-urchin
Winter	winter-
Clotheshorse	clothes-horse
MG1	MG-1
Curfew	curfew-
Prealgebra	pre-algebra
Mindset	mind-set
Preemption	Pre-emption
Faminestricken	famine-stricken
Run-up	runup
Multidimensional	multi-dimensional
Walkups	walk-ups
Rollup	roll-up
Thirtysomething	thirty-something
Average	average-
Dark-horse	darkhorse
Run-in	runin
Pebble	pebble-
Antimicrobial	anti-microbial
Pre-war	prewar
Photo-copying	photocopying
Blueprint	blue-print
Songlines	song-lines
They	-they
Corn	corn-
Linkup	link-up
Than	-than
That	-that
Bloodstained	blood-stained
