Babytalk	baby-talk
Bookrunner	book-runner
Bio-diversity	Biodiversity
Rock-fish	rockfish
KIII	K-III
Nosedive	nose-dive
-scope	Scope
Tinhorn	tin-horn
Interbank	inter-bank
HarperCollins	Harper-Collins
Over-populated	overpopulated
Oper	oper-
Overgrazing	Over-grazing
Cliffhanger	cliff-hanger
Soulless	soul-less
Fixit	fix-it
Multimillion	multimillion-
Handbell	hand-bell
Consultation	consul-tation
Sex	sex-
Bicentennial	bi-centennial
Radioactive	radio-active
Letterbox	letter-box
Pullback	pull-back
X10	X-10
Stands	-stands
Ape-man	apeman
Standalone	Stand-alone
Moon-light	moonlight
Newstalk	news-talk
