"DBPedia Ressource (bei anderer Sprache label auswerten)"	"Wortschatz"	"Korrektheit"	"Anmerkung"	"unsicher"	"Was dbpedia damit bezeichnet"	"Was der wortschatz damit bezeichnet"					
"Popé"	"pope"	0									
"Maré"	"mare"	0									
"Gönen"	"Gonen"	0									
"Corumbá"	"Corumba"	1									
"Cacá"	"Caca"	0									"r"
"Valéry"	"Valery"	0	"redirect"								
"Bowé"	"Bowe"	0									
"Lindö"	"Lindo"	0									
"Corrèze"	"Correze"	0									
"Páez"	"Paez"	1									
"Gesté"	"Geste"	0									
"Dérive"	"Derive"	0									
"Placé"	"Place"	0									
"Aégis"	"aegis"	0									
"Bôa"	"boa"	0									
"Válor"	"Valor"	0									
"Usulután"	"Usulutan"	1									
"Magné"	"Magne"	0									
"Sablé"	"Sable"	0	"redirect"								
"Dóc"	"Doc"	0									
"Atreús"	"Atreus"	0	"redirect"								
"Boé"	"Boe"	0									
"Staël"	"Stael"	1									
"Máté"	"Mate"	0	"redirect"								
"Antônia"	"Antonia"	0									
"Splügen"	"Splugen"	1									
"Général"	"General"	0									
"Aysén"	"Aysen"	0	"redirect"								
"Sincé"	"Since"	0									
"Litér"	"liter"	0									
"5 redirects → 25 nicht redirects"											
"5 davon korrekt → 20 %"											
