"DBPedia Ressource (bei anderer Sprache label auswerten)"	"Wortschatz"	"Korrektheit"	"Anmerkung"	"unsicher"
"Babytalk"	"baby-talk"	0	"redirect"	
"Bookrunner"	"book-runner"	1		
"Bio-diversity"	"Biodiversity"	0		
"Rock-fish"	"rockfish"	0	"redirect"	
"KIII"	"K-III"	0		
"Nosedive"	"nose-dive"	0	"redirect"	
"-scope"	"Scope"	0		
"Tinhorn"	"tin-horn"	0		
"Interbank"	"inter-bank"	0		
"HarperCollins"	"Harper-Collins"	1		
"Over-populated"	"overpopulated"	0	"redirect"	
"Oper"	"oper-"	0	"nicht gefunden im wortschatz"	
"Overgrazing"	"Over-grazing"	1		
"Cliffhanger"	"cliff-hanger"	1		
"Soulless"	"soul-less"	0		
"Fixit"	"fix-it"	0		
"Multimillion"	"multimillion-"	0	"redirect"	
"Handbell"	"hand-bell"	1		
"Consultation"	"consul-tation"	0	"im wortschatz wohl aufgrund von trennung am ende einer zeile reingekommen"	
"Sex"	"sex-"	0	"nicht gefunden im wortschatz"	
"Bicentennial"	"bi-centennial"	1		
"Radioactive"	"radio-active"	0		
"Letterbox"	"letter-box"	0		
"Pullback"	"pull-back"	0		
"X10"	"X-10"	0		
"Stands"	"-stands"	0	"nicht gefunden im wortschatz"	
"Ape-man"	"apeman"	0	"redirect"	
"Standalone"	"Stand-alone"	1		
"Moon-light"	"moonlight"	0	"redirect"	
"Newstalk"	"news-talk"	0	"bei dbpedia ist das ein spezieller radiosender und beim wortschatz eher was allgemeines"	
"7 redirects also 23 nicht-redirects"				
"Davon 7 richtige"				
