The following pairs belong to class 0: redirect or wrong disambiguation or no special characters (order: resource word)
PCL	PCL
Baird	Baird
Perversity	perversity
Museum	museum
Times-Journal	Times-Journal
Oviedo	Oviedo
Refugium	refugium
Wachtel	Wachtel
Mandolin	mandolin
Oyo	Oyo
Dotty	dotty
Sentences	Sentences
Kars	Kars
Margarine	Margarine
Windshield	Windshield
Rosa	rosa
Zermatt	ZERMATT
Chavannes	Chavannes
Ass	ass
Gipton	Gipton
SWAT	swat
Incentive	INCENTIVE
Payne	Payne
Suppressor	suppressor
Basic	BASIC
Association	association
SFC	SFC
Lambada	Lambada
Mercurio	Mercurio
Teriyaki	teriyaki
Lakin	Lakin
Blois	Blois
Roarke	Roarke
Classification	Classification
Nomi	Nomi
Mafia	mafia
Closer	closer
Amelia	Amelia
Faces	faces
Kean	Kean
Tobermory	Tobermory
Quickly	quickly
Australopithecus	Australopithecus
Tan-tan	Tan-Tan
Century	century
MONY	MONY
Dec	Dec
Granite	Granite
Tricorne	Tricorne
Gane	gane
Chadwell	Chadwell
Shrinking	SHRINKING
Caloric	Caloric
Ziggy	Ziggy
Dartington	Dartington
Polaroid	polaroid
Giorgos	Giorgos
Illustrious	illustrious
Andrew	ANDREW
Arte	Arte
Lipson	Lipson
TCBY	TCBY
Butternut	Butternut
Ugh	ugh
Dual	dual
Swithland	Swithland
Leash	LEASH
Rubio	Rubio
FIGS	figs
Sunkist	Sunkist
Vigil	Vigil
GONG	Gong
Thr	thr
Huck	Huck
Afternoons	Afternoons
Woodlock	Woodlock
Poland	POLAND
Gunderson	Gunderson
Parche	Parche
Terrill	Terrill
Raspberry	Raspberry
Dhankuta	Dhankuta
Rebel	Rebel
Ninjas	ninjas
Ohm	Ohm
December	December
Ballroom	Ballroom
Judgment	judgment
MMM	MMM
Tayside	Tayside
PENG	Peng
Carswell	Carswell
Feijoada	Feijoada
BIC	Bic
Fujikawa	Fujikawa
Ugo	Ugo
Twilight	twilight
Iranians	Iranians
AirPort	Airport
Crushed	crushed
Hole	Hole
Incorrect	incorrect
ESCOM	Escom
Evart	Evart
Reserve	REserve
Repellent	Repellent
Inclination	inclination
Hislop	Hislop
Justification	justification
KELP	Kelp
Miyajima	Miyajima
Spink	Spink
Brake	BRAKE
Vozhd	Vozhd
Ingeborg	Ingeborg
Germans	GERMANS
SEITA	SEITA
Turbine	turbine
The following pairs belong to class 1: Akzente und Umlaute (order: resource word)
Théodore	Theodore
Éire	Eire
Fürst	Furst
Comédie-francaise	Comedie-Francaise
Cirò	Ciro
Mädchen	Madchen
The following pairs belong to class 2: Striche (order: resource word)
Subcontractor	sub-contractor
MK801	MK-801
The following pairs belong to class 3: Punkte (order: resource word)
D.b.s.	DBs
D.I.R.T.	dirt
K.I.N.G.	king
The following pairs belong to class 4: Mehrere davon (order: resource word)
The following pairs belong to class 5: Anderes (order: resource word)
Impossible	`Impossible
Cat	`cat
Waryś	WARY
Jihâd	`jihad
Mârşa	Mara
WAS	`Was
Welcome	`Welcome
Butō	BUt
Shake	`Shake
Hits 	HITS
İncə	INC
Vítkovice	Vitkovice
Īraj	Raj
Addiction	`addiction
