"DBPedia Ressource (bei anderer Sprache label auswerten)"	"Wortschatz"	"Korrektheit"	"Anmerkung"	"unsicher"
"PCL"	"PCL"	1	"Jeweils mehrere bedeutungen, printer command language war bei beiden vorhanden"
"Baird"	"Baird"	1	"Disambiguierter familienname, wurde im wortschatz auch so benutzt"
"Théodore"	"Theodore"	1	"Accent transformation ist ok"
"Impossible"	"`Impossible"	0	"artefakt im wortschatz"
"Cat"	"`cat"	0	"artefakt im wortschatz"
"Perversity"	"perversity"	0	"math. Fachgebgriff in dbpedia, normalsprachlicher begriff im wortschatz"
"Braniff"	"Braniff"	0	"fehldisambiguierung in dbpedia"
"Museum"	"museum"	1
"Times-Journal"	"Times-Journal"	1
"Oviedo"	"Oviedo"	1
"Refugium"	"refugium"	0	"steht im wortschatz garnicht mehr drin"
"Wachtel"	"Wachtel"	1	"als nachname"
"Mandolin"	"mandolin"	1	"das instrument"
"D.b.s."	"DBs"	0	"Punkrockband – baseballteam"
"Oyo"	"Oyo"	1	"bundesstaat in nigeria"
"Abundant"	"Abundant"	0	"dbpedia: redirect auf abundance (in hülle und fülle), wortschatz: abundant wäre richtig, denn hier großgeschrieben wird eine kirchengemeinde gemeint "
"Elkhorn"	"elkhorn"	0	"fehldisambiguierung in dbpedia"
"Waryś"	"WARY"	0
"Moorings"	"moorings"	0	"redirect"	1
"Dotty"	"dotty"	0	"dbpedia: fantasybuch, wortschatz: adjektiv"
"Romanian"	"Romanian"	0	"fehldisambiguierung in dbpedia"
"Creativity"	"creativity"	0	"fehldisambiguierung in dbpedia"
"Sentences"	"Sentences"	0	"dbpedia: bestimmte werke. Wortschatz: allgemeinsprachliche bedeutung"
"Jihâd"	"`jihad"	0	"artefakt im wortschatz"
"Kars"	"Kars"	1	"stadt"
"Resend"	"re-send"	0	"redirect"
"Margarine"	"Margarine"	1	"allerdings sehr niedrige frequenz, da erstens fremdsprachiges wort (deutsch) und zweitens großgeschrieben (nur satzanfang)"
"Windshield"	"Windshield"	1	"großgeschriebene substantive im englischen: optimierung?"
"Panoramas"	"Panoramas"	0	"redirect auf panorama"
"Firkin"	"Firkin"	0	"fehldisambiguierung in dbpedia"
"Rosa"	"rosa"	0	"gibt’s case sensitiv garnicht im wortschatz und auhc nur 11 mal im falschen kontext sonst (nämlich als „sub rosa“)"
"Zermatt"	"ZERMATT"	1	"aber niedrige frequenz"
"Chavannes"	"Chavannes"	0	"Frequenz 11, deshalb keine richtige aussage möglich aber wahrscheinlich ist die stadt nicht gemeint, wortschatz direktsuche funktioniert nicht"	1
"Ass"	"ass"	0	"dbpedia: disambiguiert fachbegriffe (z.b. ass beim kartenspielen) wortschatz: im sinne von hintern"
"Éire"	"Eire"	1
"Rosalie"	"Rosalie"	0	"fehldisambiguierung in dbpedia"
"Eye"	"Eye"	0	"fehldisambiguierung in dbpedia"
